Tumor_Sample_Barcode,0,1,2,3
TCGA-CR-7367,1e-15,11.6313647819,17.645208788,1.10423149597
TCGA-CN-5373,0.716037778242,3.00605360283,18.3238833572,5.7500356978
TCGA-P3-A5QF,1.03555479495,5.91513355973,22.5940251256,1e-15
TCGA-BA-A6DE,14.4576014094,0.776249076559,0.97603407897,11.3663236029
TCGA-CR-7383,0.963898177068,11.0625392211,3.0682972751,13.5257775672
TCGA-F7-8298,1e-15,1.80075611895,5.42763017198,20.4500131592
TCGA-CV-7427,18.0300409535,6.83472702121,1.14741692502,2.14862998873
TCGA-F7-A623,0.625487221533,16.1074371451,1e-15,11.6372031369
TCGA-CV-A45W,1.29660823956,24.0007563244,3.28580351525,1e-15
TCGA-CX-7085,16.3355279906,15.2106175474,1e-15,1e-15
TCGA-CQ-7069,1.09877042614,4.26022298675,4.99013295923,17.983433555
TCGA-CV-5966,17.8931680734,1e-15,1e-15,12.1238991092
TCGA-DQ-5630,1e-15,1e-15,14.1700630613,19.4020628277
TCGA-DQ-5631,20.1477594357,2.31228044842,1e-15,7.86560749764
TCGA-CV-A6JE,3.01323800655,4.75239479584,2.85656249326,16.7732537276
TCGA-CN-4739,1e-15,2.55242956545,19.2228187939,8.685781686
TCGA-CR-7388,1e-15,24.8174696769,3.51367216883,1e-15
TCGA-QK-A6VB,1e-15,17.6145279655,11.0170989871,1e-15
TCGA-IQ-A61G,1e-15,8.98478708156,10.3970386647,7.78735113631
TCGA-CR-6478,0.901325820986,1e-15,2.93943746244,23.8517366398
TCGA-QK-A6IG,1.49055797248,6.45354374116,10.5465792231,10.1775548797
TCGA-BA-5149,16.5910677805,1e-15,7.96113687,6.62426913878
TCGA-CV-5439,14.2785820922,1e-15,0.136529025757,17.0126472708
TCGA-P3-A6T4,5.35022258216,7.43448540913,6.91762225086,6.49247508916
TCGA-QK-A64Z,6.85323204718,0.365987503778,5.03433170047,15.1072867926
TCGA-UF-A71E,0.0601147272051,8.27122930911,2.20079286575,17.1215348632
TCGA-CN-A63U,1e-15,30.4927394411,1e-15,1e-15
TCGA-MT-A7BN,1e-15,5.73341472314,2.6618802244,21.6256693897
TCGA-CX-7086,1e-15,15.4754154336,4.72496061255,7.57855838174
TCGA-CV-6956,1e-15,8.46567360624,15.7343449813,5.4557179866
TCGA-CV-7089,20.361579063,4.87503033433,1e-15,1.20339983372
TCGA-TN-A7HL,10.4913010076,1e-15,19.9036224708,1e-15
TCGA-CR-7364,1e-15,27.0272985664,1e-15,2.81120490609
TCGA-CV-6441,2.987546368,18.8674119275,1e-15,6.14217196668
TCGA-CV-7254,1.34066121771,15.7925013962,5.21098454047,4.5871861173
TCGA-H7-8501,5.32614976773,7.87037685402,3.1193481779,12.1630317348
TCGA-MT-A67A,22.4846033848,1e-15,3.23558345823,2.47252886057
TCGA-D6-A6EN,20.5554772784,0.00195125737447,1e-15,9.41649445204
TCGA-D6-8568,0.872089427609,6.24165861446,2.66902059361,16.1947034784
TCGA-CV-7242,0.371156725926,15.3472018898,9.8544938513,2.37129258184
TCGA-CQ-6220,15.0835340618,1.97841971806,1e-15,12.8033314558
TCGA-KU-A66S,0.706133986714,7.67954612972,6.026257487,11.7120636777
TCGA-P3-A6T7,1e-15,1e-15,18.0415456681,12.1412123984
TCGA-CQ-7064,4.06671790804,7.67845870898,1e-15,14.9128201489
TCGA-CR-6492,15.5453467171,1e-15,1e-15,18.3142294002
TCGA-C9-A47Z,1e-15,2.37763189111,4.20827676058,21.7649581197
TCGA-BA-A6DF,13.8001867995,1e-15,13.6674838282,2.22971831805
TCGA-BB-8596,13.549741673,6.54802763724,1.16683953219,7.57923280557
TCGA-MZ-A7D7,6.14947379487,6.26794921224,11.237079617,4.50183429378
TCGA-BA-A8YP,0.760238895551,0.33376154432,18.5820084534,6.91522920875
TCGA-CN-6023,1e-15,3.68253229246,11.7151552458,13.638634536
TCGA-D6-A74Q,1e-15,11.2759629367,11.4590556167,3.84831996316
TCGA-CV-A45R,7.8896065872,1e-15,8.43745268065,12.445496773
TCGA-BA-4076,15.8337643963,11.0011288108,1e-15,3.52548279924
TCGA-CV-A463,20.888226303,2.35453666211,1.0737225184,3.01962224732
TCGA-QK-A8ZA,16.4265499031,2.89094830809,6.00853038259,2.46037358735
TCGA-CX-7082,4.18271904596,1e-15,9.2314381125,18.2209112383
TCGA-CN-6018,6.59822071706,5.42499041793,2.28513041012,12.5256970023
TCGA-CV-6003,2.50763596584,9.06073328907,6.29269207186,13.1051744152
TCGA-CN-5360,1e-15,24.9122969729,8.28796000298,1e-15
TCGA-UF-A7JO,0.869486702655,4.82073969495,21.6099814016,2.25150060406
TCGA-CN-5363,18.1492472598,3.7364561649,3.48568393719,3.21797544156
TCGA-CN-A641,0.954304159013,10.818691269,6.35020403081,9.68278462142
TCGA-CN-A498,1e-15,1e-15,20.1265786548,11.2195678746
TCGA-CN-4730,0.57125334658,6.68440625658,8.42972466909,9.71311225475
TCGA-CR-7395,15.6025600369,1e-15,12.200119519,2.77024530076
TCGA-BA-4078,1e-15,29.6447016596,1e-15,1e-15
TCGA-UF-A7JV,1e-15,7.33579078401,16.1840483053,6.90703714856
TCGA-CQ-5333,20.4212800371,7.13947120664,0.549066213896,0.570654705253
TCGA-BA-6869,2.36759091162,26.0323823595,1e-15,0.81704520918
TCGA-CQ-5334,15.5940998647,8.75572993416,1.81832614356,2.34096364146
TCGA-CN-A63T,2.58004262773,21.5483824314,0.0987884019218,3.58968301738
TCGA-CR-5248,1e-15,19.5736720894,4.2670088468,3.29084709969
TCGA-CR-7368,9.15129421199,16.3857230146,1e-15,2.53804121742
TCGA-CV-7425,0.482191772295,10.5689087652,1e-15,18.0207258435
TCGA-CV-6935,1e-15,10.5436708459,15.7342152392,3.58234986648
TCGA-CV-7434,2.73833925391,10.1428660436,2.1939052992,13.02384465
TCGA-UF-A719,1e-15,6.53883628774,6.19619740357,13.8186230451
TCGA-CV-6940,17.6278071195,2.44271457129,0.534832378235,6.64766825828
TCGA-BA-5555,1e-15,8.13710866544,9.8609248987,9.71686863178
TCGA-CR-5247,1e-15,4.98135781045,2.54712731578,18.8874147827
TCGA-CN-5367,8.7876564761,6.18071038078,1e-15,15.0080308171
TCGA-CV-7263,6.11766113773,5.24030628052,3.16937949025,14.5133154694
TCGA-CN-4741,1.90162705543,0.364670388739,20.8009002854,5.68246430957
TCGA-CR-7374,2.03373890518,7.37252101194,15.200874575,6.67321926647
TCGA-CN-A640,2.73532119558,16.1725079384,1e-15,11.9237230578
TCGA-CV-7424,15.9854211014,1e-15,14.3412810637,1e-15
TCGA-CV-7238,17.077998956,10.2508854376,1e-15,3.00700251477
TCGA-CN-4731,2.70922231138,11.972429807,1e-15,15.1678860246
TCGA-CV-6942,18.2438192345,3.91952728049,6.11350505938,1e-15
TCGA-CV-7440,1e-15,30.1790901044,1e-15,1.18123242773
TCGA-CN-6021,14.7389985034,6.0126730661,8.32360039764,1e-15
TCGA-CV-7099,14.5020368367,7.34961150605,5.91314697775,1e-15
TCGA-BA-A6DL,1e-15,5.41461942412,4.90860817165,16.9774045585
TCGA-CN-A497,1.7714021374,27.0739441903,1.51860893918,0.0165142298353
TCGA-CQ-A4CD,5.57738194071,8.1494018886,1.48492684662,14.391685721
